name,position,team,pos_rank,model_total,model_ppg,model_games,model_floor,model_ceiling,sleeper_total,sleeper_ppr_native,sleeper_games,slp_pass_yd,slp_pass_td,slp_pass_int,slp_rush_yd,slp_rush_td,slp_rec,slp_rec_yd,slp_rec_td,slp_fum_lost,diff,diff_pct,abs_diff,sleeper_ppg,ppg_diff,games_diff,pts_from_games_diff,pts_from_ppg_diff
Rico Dowdle,RB,CAR,31,126.0,10.2,12.3,86.0,178.0,145.0,145.0,18.0,0.0,0.0,0.0,570.0,4.0,35.0,250.0,1.0,1.0,-19.0,-13.10344827586207,19.0,8.055555555555555,2.144444444444444,-5.699999999999999,-45.91666666666666,26.37666666666666
Nate Boerkircher,TE,,118,19.0,2.5,7.5,0.0,64.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,,19.0,0.0,2.5,-10.5,0.0,18.75
Colby Parkinson,TE,LAR,42,69.0,5.6,12.3,26.0,128.0,87.4,87.4,18.0,0.0,0.0,0.0,0.0,0.0,35.0,344.0,3.0,0.0,-18.400000000000006,-21.052631578947373,18.400000000000006,4.855555555555556,0.7444444444444436,-5.699999999999999,-27.676666666666666,9.156666666666656
Jonnu Smith,TE,PIT,28,98.0,6.9,14.3,46.0,145.0,79.60000000000001,79.6,18.0,0.0,0.0,0.0,22.0,0.0,34.0,314.0,2.0,0.0,18.39999999999999,23.115577889447223,18.39999999999999,4.4222222222222225,2.477777777777778,-3.6999999999999993,-16.36222222222222,35.43222222222222
Taylen Green,QB,,66,31.0,3.7,8.5,-1.0,85.0,12.620000000000001,12.62,18.0,183.0,1.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,18.38,145.64183835182249,18.38,0.7011111111111111,2.998888888888889,-9.5,-6.660555555555556,25.49055555555556
Stone Smartt,TE,NYJ,100,24.0,2.8,8.4,8.0,45.0,5.7,5.7,18.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,0.0,0.0,18.3,321.0526315789474,18.3,0.31666666666666665,2.4833333333333334,-9.6,-3.0399999999999996,20.860000000000003
Treylon Burks,WR,WAS,120,53.0,4.6,11.5,27.0,103.0,34.8,34.8,18.0,0.0,0.0,0.0,16.0,0.0,12.0,152.0,1.0,0.0,18.200000000000003,52.29885057471265,18.200000000000003,1.9333333333333331,2.6666666666666665,-6.5,-12.566666666666665,30.666666666666664
Brandin Cooks,WR,BUF,128,47.0,4.8,9.8,22.0,106.0,28.8,28.8,18.0,0.0,0.0,0.0,0.0,0.0,10.0,128.0,1.0,0.0,18.2,63.19444444444444,18.2,1.6,3.1999999999999997,-8.2,-13.12,31.36
Mitchell Trubisky,QB,BUF,67,30.0,6.3,4.8,5.0,59.0,11.940000000000001,11.94,18.0,186.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,18.06,151.25628140703515,18.06,0.6633333333333334,5.636666666666667,-13.2,-8.756,27.056
Kylen Granson,TE,PHI,107,22.0,2.1,10.6,3.0,39.0,4.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,18.0,450.0,18.0,0.2222222222222222,1.8777777777777778,-7.4,-1.6444444444444444,19.904444444444444
