player_display_name,position_group,current_team,is_rookie,draft_round,draft_number,projected_ppg,ppg_median,ppg_floor,ppg_ceiling,projected_games,projected_total,total_floor,total_ceiling,pos_rank
PIT DST,DST,PIT,,,,6.7,6.9,4.6,8.4,16.0,107,74,134,4
MIN DST,DST,MIN,,,,6.6,6.4,4.2,8.6,16.0,106,68,137,5
Brenton Strange,TE,JAX,0.0,2.0,61.0,8.5,6.8,3.1,13.6,12.4,105,38,169,24
Denzel Boston,WR,CLE,1.0,2.0,39.0,10.1,8.9,1.2,13.5,10.3,104,12,139,61
CHI DST,DST,CHI,,,,6.5,6.5,4.1,8.8,16.0,104,65,140,6
Kyler Murray,QB,MIN,0.0,1.0,1.0,12.6,13.3,0.1,21.0,8.2,103,1,172,33
Chuba Hubbard,RB,CAR,0.0,4.0,126.0,8.4,8.0,2.9,14.4,12.4,103,36,179,40
Cairo Santos,K,CHI,,,,7.8,7.7,6.1,9.4,13.2,103,80,124,24
Eddy Pineiro,K,SF,,,,7.7,7.9,4.5,10.1,13.3,103,59,134,25
Andy Borregales,K,NE,,,,7.7,7.8,6.3,9.1,13.5,103,85,123,26
CLE DST,DST,CLE,,,,6.5,6.4,4.3,9.9,16.0,103,69,158,7
Ryan Fitzgerald,K,CAR,,,,7.7,7.5,5.6,9.2,13.2,102,74,122,27
ATL DST,DST,ATL,,,,6.4,6.3,4.7,7.8,16.0,102,75,126,8
Evan Engram,TE,DEN,0.0,1.0,23.0,7.8,7.0,2.6,12.6,13.0,101,34,163,25
Theo Johnson,TE,NYG,0.0,4.0,107.0,7.5,7.2,3.6,11.7,13.4,101,48,157,26
De'Zhaun-Ryan Stribling,WR,SF,1.0,2.0,33.0,9.3,9.4,1.5,13.2,10.8,101,16,143,62
Ricky Pearsall,WR,SF,0.0,1.0,31.0,9.1,7.3,2.7,14.6,11.0,100,30,161,63
Tre Harris,WR,LAC,0.0,2.0,55.0,7.2,7.3,0.9,12.4,13.9,100,12,173,64
LAR DST,DST,LAR,,,,6.3,6.4,4.9,7.9,16.0,100,79,127,9
Nick Folk,K,ATL,,,,8.0,7.9,5.8,9.7,12.3,99,72,120,29
NO DST,DST,NO,,,,6.2,6.4,4.7,7.7,16.0,99,75,123,10
Calvin Ridley,WR,TEN,0.0,1.0,26.0,8.6,8.1,1.2,13.7,11.4,98,14,156,65
Jayden Reed,WR,GB,0.0,2.0,50.0,8.6,9.4,3.3,14.2,11.3,98,38,161,66
Spencer Shrader,K,IND,,,,8.0,7.3,5.8,11.2,12.3,98,71,137,30
DEN DST,DST,DEN,,,,6.2,6.2,4.2,8.6,16.0,98,67,138,11
PHI DST,DST,PHI,,,,6.1,6.6,4.6,7.9,16.0,98,74,127,12
SEA DST,DST,SEA,,,,6.1,6.2,5.1,8.0,16.0,98,81,128,13
Elic Ayomanor,WR,TEN,0.0,4.0,136.0,7.2,6.0,0.4,12.8,13.5,97,5,173,67
GB DST,DST,GB,,,,6.1,6.1,3.5,9.3,16.0,97,56,148,14
Mark Andrews,TE,BAL,0.0,3.0,86.0,7.5,7.0,3.3,12.2,12.7,96,42,156,27
Tyler Loop,K,BAL,,,,7.2,7.7,5.9,9.0,13.2,96,78,119,33
Ben Sauls,K,NYG,,,,7.5,6.6,5.7,10.6,12.8,96,73,135,34
IND DST,DST,IND,,,,6.0,6.1,4.9,7.1,16.0,96,79,114,15
Pat Freiermuth,TE,PIT,0.0,2.0,55.0,7.6,7.6,3.6,11.9,12.6,95,45,150,28
WSH DST,DST,WSH,,,,6.0,6.0,3.3,9.0,16.0,95,54,145,16
Devin Singletary,RB,NYG,0.0,3.0,74.0,6.7,4.2,0.5,12.3,14.1,94,7,174,41
